URL,Name,Stars,Total_Reviews
https://play.google.com/store/apps/details?id=mm.com.food2u.food2uorder.lastproject,Food2u Order,3.1,178
https://play.google.com/store/apps/details?id=com.wishboxonline.wishbox,Wishbox- A Friendly online food delivery platform,2.8,489
https://play.google.com/store/apps/details?id=com.ideas2life.foodymobile,Foody - Food and Groceries Delivery in Cyprus,3.8,936
https://play.google.com/store/apps/details?id=de.pizza,pizza.de | Food Delivery,3.8,"59,514"
https://play.google.com/store/apps/details?id=com.pauza.hr,Pauza.hr Food Delivery,4.4,"6,011"
https://play.google.com/store/apps/details?id=digifit.virtuagym.foodtracker,"Calorie, Carb & Fat Counter",4.5,"64,124"
https://play.google.com/store/apps/details?id=com.travelkhana,Travelkhana-Train Food Service,3.7,"34,217"
https://play.google.com/store/apps/details?id=com.mozaic.www.eatdelivery,Eat Delivery,3.2,347
https://play.google.com/store/apps/details?id=com.ideatolife.foodak2020,Foodak: Food delivery & more,4.4,399
https://play.google.com/store/apps/details?id=com.chowman.ordering,Chowman Food Order & Delivery,4.2,414
https://play.google.com/store/apps/details?id=com.orderfood.onlinedelivery.offers,All In One Online Food Delivery:Food Ordering App,4.2,162
https://play.google.com/store/apps/details?id=com.jamtech.marabel.smood,Smood – Swiss Food Delivery,3.7,"2,166"
https://play.google.com/store/apps/details?id=ge.menu.app,Menu.ge — restaurant food delivery,3.4,"2,418"
https://play.google.com/store/apps/details?id=com.mula.person.user,"MULA – Car, Food & Parcel Delivery",4.1,"1,494"
https://play.google.com/store/apps/details?id=com.kasacapital.bitesquad,Bite Squad - Restaurant Food Delivery,3.9,"14,830"
https://play.google.com/store/apps/details?id=com.foodfex,Foodfex- Food Order & Delivery,3.3,378
https://play.google.com/store/apps/details?id=sg.whyq.users,WhyQ Hawker Delivery & Marketplace,4.1,"2,643"
https://play.google.com/store/apps/details?id=in.ovenstory,Oven Story Pizza - Online Pizza Delivery App,4.1,"11,834"
https://play.google.com/store/apps/details?id=xyz.starship.deliveries,Starship - Grocery & Food Delivery,4.8,"2,892"
https://play.google.com/store/apps/details?id=com.foodwifi.globizs,Foodwifi,2.8,700
https://play.google.com/store/apps/details?id=com.deliverynow,Now - Food Delivery,4,"1,14,463"
https://play.google.com/store/apps/details?id=foodquiz.guessthefood,Food Quiz,4.2,"1,42,851"
https://play.google.com/store/apps/details?id=fit.cure.android,"cure.fit Fitness, Meditation, Healthy food, Doctor",4.4,"87,957"
https://play.google.com/store/apps/details?id=com.honestbee.consumer,honestbee: Grocery delivery & Food delivery,2.9,"20,216"
https://play.google.com/store/apps/details?id=com.eateasily.androidapp,"EatEasy - Online Food, Grocery Delivery & Dine In",3.9,332
https://play.google.com/store/apps/details?id=com.dicedpixel.cookingfood,Cooking Food - Restaurant Tycoon,4.6,"7,078"
https://play.google.com/store/apps/details?id=com.ricepo.app,RICEPO - Asian Food Delivery,4.9,791
https://play.google.com/store/apps/details?id=se.onlinepizza,foodora Sweden,4,"25,817"
https://play.google.com/store/apps/details?id=com.donesi.smart,Donesi - Food Delivery,4.7,"16,217"
